uniprot	swissprot	name	act_value	act_type	action_type	source_name	reference	smiles	ChEMBL_Id
Q01959	SC6A3_HUMAN	modafinil	5.836838625	Ki	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1373	NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1	CHEMBL1373
P23219	PGH1_HUMAN	oxaprozin	6.067526235	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1071	OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1	CHEMBL1071
P21397	AOFA_HUMAN	phenelzine	6.835647144	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1089	NNCCC1=CC=CC=C1	CHEMBL1089
P08588	ADRB1_HUMAN	propafenone	6.688246139	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL631	CCCNCC(O)COC1=C(C=CC=C1)C(=O)CCC1=CC=CC=C1	CHEMBL631
P04150	GCR_HUMAN	triamcinolone	7.585026652	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1451	[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C	CHEMBL1451
P20309	ACM3_HUMAN	tropicamide	7.522878745	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200604	CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1	CHEMBL1200604
P08913	ADA2A_HUMAN	guanabenz	7.823908741	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL420	NC(=N)N\N=C\C1=C(Cl)C=CC=C1Cl	CHEMBL420
P18089	ADA2B_HUMAN	guanabenz	7.167491087	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL420	NC(=N)N\N=C\C1=C(Cl)C=CC=C1Cl	CHEMBL420
P18825	ADA2C_HUMAN	guanabenz	6.793174124	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL420	NC(=N)N\N=C\C1=C(Cl)C=CC=C1Cl	CHEMBL420
P04150	GCR_HUMAN	clobetasol propionate	9.179142011	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1159650	[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C	CHEMBL1159650
P04150	GCR_HUMAN	diflorasone diacetate	8.536107011	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200545	[H][C@@]12C[C@H](C)[C@](OC(C)=O)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C	CHEMBL1200545
P04150	GCR_HUMAN	halcinonide	9.135488919	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200845	[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CCl	CHEMBL1200845
P04150	GCR_HUMAN	betamethasone phosphate	8.428291168	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200762	[H][C@@]12C[C@H](C)[C@](O)(C(=O)COP(O)(O)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C	CHEMBL1200762
P08913	ADA2A_HUMAN	norepinephrine	7.18	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1437	NC[C@H](O)C1=CC(O)=C(O)C=C1	CHEMBL1437
P35348	ADA1A_HUMAN	norepinephrine	5.82	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1437	NC[C@H](O)C1=CC(O)=C(O)C=C1	CHEMBL1437
Q7L0J3	SV2A_HUMAN	levetiracetam	6.099999904632568	Ki	MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1286	CC[C@H](N1CCCC1=O)C(N)=O	CHEMBL1286
P49895	IOD1_HUMAN	propylthiouracil			INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1518	CCCC1=CC(=O)NC(=S)N1	CHEMBL1518
P27338	AOFB_HUMAN	rasagiline	6.15	Ki	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL887	C#CCN[C@@H]1CCC2=C1C=CC=C2	CHEMBL887
P14867	GBRA1_HUMAN	propofol	5.7	EC50	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL526	CC(C)C1=CC=CC(C(C)C)=C1O	CHEMBL526
P18507	GBRG2_HUMAN	propofol	5.7	EC50	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL526	CC(C)C1=CC=CC(C(C)C)=C1O	CHEMBL526
P47870	GBRB2_HUMAN	propofol	5.7	EC50	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL526	CC(C)C1=CC=CC(C(C)C)=C1O	CHEMBL526
P14867	GBRA1_HUMAN	propofol	5.39	EC50	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL526	CC(C)C1=CC=CC(C(C)C)=C1O	CHEMBL526
P18507	GBRG2_HUMAN	propofol	5.39	EC50	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL526	CC(C)C1=CC=CC(C(C)C)=C1O	CHEMBL526
P28472	GBRB3_HUMAN	propofol	5.39	EC50	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL526	CC(C)C1=CC=CC(C(C)C)=C1O	CHEMBL526
P18507	GBRG2_HUMAN	propofol	4.95	EC50	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL526	CC(C)C1=CC=CC(C(C)C)=C1O	CHEMBL526
P47869	GBRA2_HUMAN	propofol	4.95	EC50	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL526	CC(C)C1=CC=CC(C(C)C)=C1O	CHEMBL526
P47870	GBRB2_HUMAN	propofol	4.95	EC50	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL526	CC(C)C1=CC=CC(C(C)C)=C1O	CHEMBL526
P21397	AOFA_HUMAN	iproniazid	5.18	IC50	INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/1101049	CC(C)NNC(=O)C1=CC=NC=C1	CHEMBL92401
P27338	AOFB_HUMAN	iproniazid	5.12	IC50	INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/1101049	CC(C)NNC(=O)C1=CC=NC=C1	CHEMBL92401
Q9Y5Y9	SCNAA_HUMAN	mexiletine	4.25	IC50	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL558	CC(N)COC1=C(C)C=CC=C1C	CHEMBL558
Q15858	SCN9A_HUMAN	mexiletine	4.89	Ki	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL558	CC(N)COC1=C(C)C=CC=C1C	CHEMBL558
Q99250	SCN2A_HUMAN	mexiletine	5.54	IC50	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL558	CC(N)COC1=C(C)C=CC=C1C	CHEMBL558
Q05586	NMDZ1_HUMAN	memantine	5.26	IC50	NEGATIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL807	CC12CC3CC(C)(C1)CC(N)(C3)C2	CHEMBL807
Q13224	NMDE2_HUMAN	memantine	5.26	IC50	NEGATIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL807	CC12CC3CC(C)(C1)CC(N)(C3)C2	CHEMBL807
Q05586	NMDZ1_HUMAN	memantine	9.02	IC50	NEGATIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL807	CC12CC3CC(C)(C1)CC(N)(C3)C2	CHEMBL807
Q12879	NMDE1_HUMAN	memantine	9.02	IC50	NEGATIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL807	CC12CC3CC(C)(C1)CC(N)(C3)C2	CHEMBL807
Q05586	NMDZ1_HUMAN	memantine	5.02	IC50	NEGATIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL807	CC12CC3CC(C)(C1)CC(N)(C3)C2	CHEMBL807
P29275	AA2BR_HUMAN	theophylline	5.57	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL190	CN1C2=C(N=CN2)C(=O)N(C)C1=O	CHEMBL190
P29274	AA2AR_HUMAN	theophylline	9.22	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL190	CN1C2=C(N=CN2)C(=O)N(C)C1=O	CHEMBL190
P30542	AA1R_HUMAN	theophylline	9.22	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL190	CN1C2=C(N=CN2)C(=O)N(C)C1=O	CHEMBL190
O15399	NMDE4_HUMAN	acamprosate			ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201293	CC(=O)NCCCS(O)(=O)=O	CHEMBL1201293
O60391	NMD3B_HUMAN	acamprosate			ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201293	CC(=O)NCCCS(O)(=O)=O	CHEMBL1201293
Q05586	NMDZ1_HUMAN	acamprosate			ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201293	CC(=O)NCCCS(O)(=O)=O	CHEMBL1201293
Q12879	NMDE1_HUMAN	acamprosate			ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201293	CC(=O)NCCCS(O)(=O)=O	CHEMBL1201293
Q13224	NMDE2_HUMAN	acamprosate			ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201293	CC(=O)NCCCS(O)(=O)=O	CHEMBL1201293
Q14957	NMDE3_HUMAN	acamprosate			ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201293	CC(=O)NCCCS(O)(=O)=O	CHEMBL1201293
Q8TCU5	NMD3A_HUMAN	acamprosate			ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201293	CC(=O)NCCCS(O)(=O)=O	CHEMBL1201293
P22303	ACES_HUMAN	pyridostigmine	6.44	IC50	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL812	CN(C)C(=O)OC1=C[N+](C)=CC=C1	CHEMBL812
P07550	ADRB2_HUMAN	epinephrine	6.2	Kd	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL679	CNC[C@H](O)C1=CC=C(O)C(O)=C1	CHEMBL679
P35348	ADA1A_HUMAN	epinephrine	5.7	Ki	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL679	CNC[C@H](O)C1=CC=C(O)C(O)=C1	CHEMBL679
P22303	ACES_HUMAN	fluostigmine	5.22	Ki	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1025	CC(C)OP(F)(=O)OC(C)C	CHEMBL1025
P23415	GLRA1_HUMAN	isoflurane			POSITIVE MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
P48167	GLRB_HUMAN	isoflurane			POSITIVE MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
O00591	GBRP_HUMAN	isoflurane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
O14764	GBRD_HUMAN	isoflurane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
P14867	GBRA1_HUMAN	isoflurane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
P18505	GBRB1_HUMAN	isoflurane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
P18507	GBRG2_HUMAN	isoflurane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
P28472	GBRB3_HUMAN	isoflurane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
P31644	GBRA5_HUMAN	isoflurane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
P34903	GBRA3_HUMAN	isoflurane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
P47869	GBRA2_HUMAN	isoflurane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
P47870	GBRB2_HUMAN	isoflurane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
P48169	GBRA4_HUMAN	isoflurane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
P78334	GBRE_HUMAN	isoflurane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
Q16445	GBRA6_HUMAN	isoflurane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
Q8N1C3	GBRG1_HUMAN	isoflurane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
Q99928	GBRG3_HUMAN	isoflurane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
Q9UN88	GBRT_HUMAN	isoflurane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
P57789	KCNKA_HUMAN	isoflurane			OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
Q7Z418	KCNKI_HUMAN	isoflurane			OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
O14649	KCNK3_HUMAN	isoflurane			OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
Q9NPC2	KCNK9_HUMAN	isoflurane			OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
O95069	KCNK2_HUMAN	isoflurane			OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256	FC(F)OC(Cl)C(F)(F)F	CHEMBL1256
P57789	KCNKA_HUMAN	enflurane			OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1257	FC(F)OC(F)(F)C(F)Cl	CHEMBL1257
Q7Z418	KCNKI_HUMAN	enflurane			OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1257	FC(F)OC(F)(F)C(F)Cl	CHEMBL1257
O14649	KCNK3_HUMAN	enflurane			OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1257	FC(F)OC(F)(F)C(F)Cl	CHEMBL1257
Q9NPC2	KCNK9_HUMAN	enflurane			OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1257	FC(F)OC(F)(F)C(F)Cl	CHEMBL1257
O95069	KCNK2_HUMAN	enflurane			OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1257	FC(F)OC(F)(F)C(F)Cl	CHEMBL1257
P27338	AOFB_HUMAN	selegiline	7.26	Ki	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL972	C[C@H](CC1=CC=CC=C1)N(C)CC#C	CHEMBL972
O43497	CAC1G_HUMAN	phensuximide			BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL797	CN1C(=O)CC(C1=O)C1=CC=CC=C1	CHEMBL797
O95180	CAC1H_HUMAN	phensuximide			BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL797	CN1C(=O)CC(C1=O)C1=CC=CC=C1	CHEMBL797
Q9P0X4	CAC1I_HUMAN	phensuximide			BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL797	CN1C(=O)CC(C1=O)C1=CC=CC=C1	CHEMBL797
P31327	CPSM_HUMAN	carglumic acid			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201780	NC(=O)N[C@@H](CCC(O)=O)C(O)=O	CHEMBL1201780
O75343	GCYB2_HUMAN	isosorbide mononitrate			ACTIVATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1311	[H][C@]12OC[C@@H](O[N+]([O-])=O)[C@@]1([H])OC[C@@H]2O	CHEMBL1311
P33402	GCYA2_HUMAN	isosorbide mononitrate			ACTIVATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1311	[H][C@]12OC[C@@H](O[N+]([O-])=O)[C@@]1([H])OC[C@@H]2O	CHEMBL1311
Q02108	GCYA3_HUMAN	isosorbide mononitrate			ACTIVATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1311	[H][C@]12OC[C@@H](O[N+]([O-])=O)[C@@]1([H])OC[C@@H]2O	CHEMBL1311
Q02153	GCYB1_HUMAN	isosorbide mononitrate			ACTIVATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1311	[H][C@]12OC[C@@H](O[N+]([O-])=O)[C@@]1([H])OC[C@@H]2O	CHEMBL1311
Q01959	SC6A3_HUMAN	phendimetrazine			INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1744	[H][C@@]1(C)N(C)CCO[C@@]1([H])C1=CC=CC=C1	CHEMBL1744
P23975	SC6A2_HUMAN	phendimetrazine			INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1744	[H][C@@]1(C)N(C)CCO[C@@]1([H])C1=CC=CC=C1	CHEMBL1744
P29274	AA2AR_HUMAN	caffeine	5.61	Ki	ANTAGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL113	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	CHEMBL113
P23415	GLRA1_HUMAN	halothane			POSITIVE MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
P48167	GLRB_HUMAN	halothane			POSITIVE MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
O00591	GBRP_HUMAN	halothane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
O14764	GBRD_HUMAN	halothane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
P14867	GBRA1_HUMAN	halothane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
P18505	GBRB1_HUMAN	halothane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
P18507	GBRG2_HUMAN	halothane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
P28472	GBRB3_HUMAN	halothane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
P31644	GBRA5_HUMAN	halothane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
P34903	GBRA3_HUMAN	halothane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
P47869	GBRA2_HUMAN	halothane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
P47870	GBRB2_HUMAN	halothane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
P48169	GBRA4_HUMAN	halothane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
P78334	GBRE_HUMAN	halothane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
Q16445	GBRA6_HUMAN	halothane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
Q8N1C3	GBRG1_HUMAN	halothane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
Q99928	GBRG3_HUMAN	halothane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
Q9UN88	GBRT_HUMAN	halothane			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
P57789	KCNKA_HUMAN	halothane			OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
Q7Z418	KCNKI_HUMAN	halothane			OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
O14649	KCNK3_HUMAN	halothane			OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
Q9NPC2	KCNK9_HUMAN	halothane			OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
O95069	KCNK2_HUMAN	halothane			OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931	FC(F)(F)C(Cl)Br	CHEMBL931
Q16881	TRXR1_HUMAN	arsenic trioxide			INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200978		CHEMBL1200978
O00591	GBRP_HUMAN	metharbital			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL450	CCC1(CC)C(=O)NC(=O)N(C)C1=O	CHEMBL450
O14764	GBRD_HUMAN	metharbital			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL450	CCC1(CC)C(=O)NC(=O)N(C)C1=O	CHEMBL450
P14867	GBRA1_HUMAN	metharbital			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL450	CCC1(CC)C(=O)NC(=O)N(C)C1=O	CHEMBL450
P18505	GBRB1_HUMAN	metharbital			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL450	CCC1(CC)C(=O)NC(=O)N(C)C1=O	CHEMBL450
P18507	GBRG2_HUMAN	metharbital			POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL450	CCC1(CC)C(=O)NC(=O)N(C)C1=O	CHEMBL450
