name	side_effect
Diphenhydramine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Diphenhydramine.
Dipyridamole	The risk or severity of bleeding can be increased when Dipyridamole is combined with Bortezomib.
Diroximel fumarate	The risk or severity of adverse effects can be increased when Bortezomib is combined with Diroximel fumarate.
Disopyramide	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Disopyramide.
Disulfiram	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Disulfiram.
Docetaxel	The serum concentration of Bortezomib can be increased when it is combined with Docetaxel.
Doconexent	The metabolism of Bortezomib can be decreased when combined with Doconexent.
Dofetilide	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Dofetilide.
Dolasetron	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Dolasetron.
Dolutegravir	The serum concentration of Bortezomib can be increased when it is combined with Dolutegravir.
Domperidone	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Domperidone.
Donepezil	The metabolism of Donepezil can be decreased when combined with Bortezomib.
Dosulepin	The metabolism of Bortezomib can be decreased when combined with Dosulepin.
Doxazosin	The metabolism of Bortezomib can be decreased when combined with Doxazosin.
Doxepin	The metabolism of Doxepin can be decreased when combined with Bortezomib.
Doxorubicin	The serum concentration of Bortezomib can be increased when it is combined with Doxorubicin.
Doxylamine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Doxylamine.
Dronabinol	The metabolism of Bortezomib can be decreased when combined with Dronabinol.
Dronedarone	The metabolism of Bortezomib can be decreased when combined with Dronedarone.
Droperidol	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Droperidol.
Drospirenone	The metabolism of Bortezomib can be decreased when combined with Drospirenone.
Drotrecogin alfa	The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Bortezomib.
Duloxetine	The metabolism of Bortezomib can be decreased when combined with Duloxetine.
Duvelisib	The metabolism of Bortezomib can be decreased when combined with Duvelisib.
Dyclonine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Dyclonine.
Ebastine	The metabolism of Bortezomib can be decreased when combined with Ebastine.
Ebola Zaire vaccine (live, attenuated)	The therapeutic efficacy of Ebola Zaire vaccine (live, attenuated) can be decreased when used in combination with Bortezomib.
Echinacea	The metabolism of Bortezomib can be increased when combined with Echinacea.
Econazole	The metabolism of Bortezomib can be decreased when combined with Econazole.
Eculizumab	The risk or severity of adverse effects can be increased when Bortezomib is combined with Eculizumab.
Edetic acid	The risk or severity of bleeding can be increased when Edetic acid is combined with Bortezomib.
Edoxaban	The serum concentration of Bortezomib can be increased when it is combined with Edoxaban.
Efalizumab	The risk or severity of adverse effects can be increased when Efalizumab is combined with Bortezomib.
Efavirenz	The metabolism of Bortezomib can be decreased when combined with Efavirenz.
Efgartigimod alfa	The risk or severity of adverse effects can be increased when Bortezomib is combined with Efgartigimod alfa.
Elacestrant	The serum concentration of Bortezomib can be increased when it is combined with Elacestrant.
Elagolix	The serum concentration of Bortezomib can be increased when it is combined with Elagolix.
Elbasvir	The serum concentration of Bortezomib can be increased when it is combined with Elbasvir.
Eletriptan	The metabolism of Eletriptan can be decreased when combined with Bortezomib.
Elexacaftor	The metabolism of Bortezomib can be decreased when combined with Elexacaftor.
Eliglustat	The metabolism of Bortezomib can be decreased when combined with Eliglustat.
Eltrombopag	The metabolism of Eltrombopag can be decreased when combined with Bortezomib.
Elvitegravir	The metabolism of Bortezomib can be decreased when combined with Elvitegravir.
Emapalumab	The metabolism of Bortezomib can be increased when combined with Emapalumab.
Emedastine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Emedastine.
Enasidenib	The serum concentration of Bortezomib can be increased when it is combined with Enasidenib.
Encainide	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Encainide.
Encorafenib	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Encorafenib.
Enfortumab vedotin	The serum concentration of Bortezomib can be increased when it is combined with Enfortumab vedotin.
Enoxacin	The metabolism of Bortezomib can be decreased when combined with Enoxacin.
Enoxaparin	The risk or severity of bleeding can be increased when Enoxaparin is combined with Bortezomib.
Entacapone	The metabolism of Bortezomib can be decreased when combined with Entacapone.
Entecavir	The metabolism of Entecavir can be decreased when combined with Bortezomib.
Entrectinib	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Entrectinib.
Enzalutamide	The metabolism of Bortezomib can be increased when combined with Enzalutamide.
Epinastine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Epinastine.
Epinephrine	The serum concentration of Bortezomib can be increased when it is combined with Epinephrine.
Epirubicin	The risk or severity of adverse effects can be increased when Bortezomib is combined with Epirubicin.
Epoprostenol	The risk or severity of bleeding can be increased when Epoprostenol is combined with Bortezomib.
Eptifibatide	The risk or severity of bleeding can be increased when Eptifibatide is combined with Bortezomib.
Erdafitinib	The serum concentration of Bortezomib can be increased when it is combined with Erdafitinib.
Ergotamine	The metabolism of Bortezomib can be decreased when combined with Ergotamine.
Eribulin	The risk or severity of adverse effects can be increased when Bortezomib is combined with Eribulin.
Erlotinib	The serum concentration of Bortezomib can be increased when it is combined with Erlotinib.
Ertugliflozin	The serum concentration of Bortezomib can be increased when it is combined with Ertugliflozin.
Erythromycin	The serum concentration of Bortezomib can be increased when it is combined with Erythromycin.
Erythropoietin	The risk or severity of Thrombosis can be increased when Erythropoietin is combined with Bortezomib.
Escitalopram	The serum concentration of Bortezomib can be increased when it is combined with Escitalopram.
Esketamine	The metabolism of Bortezomib can be increased when combined with Esketamine.
Eslicarbazepine	The metabolism of Bortezomib can be increased when combined with Eslicarbazepine.
Eslicarbazepine acetate	The metabolism of Bortezomib can be increased when combined with Eslicarbazepine acetate.
Esmolol	The risk or severity of QTc prolongation can be increased when Esmolol is combined with Bortezomib.
Esomeprazole	The metabolism of Esomeprazole can be decreased when combined with Bortezomib.
Estetrol	The metabolism of Bortezomib can be decreased when combined with Estetrol.
Estradiol	The metabolism of Estradiol can be decreased when combined with Bortezomib.
Estradiol acetate	The metabolism of Bortezomib can be increased when combined with Estradiol acetate.
Estradiol benzoate	The metabolism of Bortezomib can be increased when combined with Estradiol benzoate.
Estradiol cypionate	The metabolism of Bortezomib can be increased when combined with Estradiol cypionate.
Estradiol dienanthate	The metabolism of Bortezomib can be increased when combined with Estradiol dienanthate.
Estradiol valerate	The metabolism of Bortezomib can be increased when combined with Estradiol valerate.
Estramustine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Estramustine.
Estrone sulfate	The metabolism of Bortezomib can be decreased when combined with Estrone sulfate.
Etanercept	The metabolism of Bortezomib can be increased when combined with Etanercept.
Ethambutol	The metabolism of Bortezomib can be decreased when combined with Ethambutol.
Ethanol	The metabolism of Bortezomib can be increased when combined with Ethanol.
Ethinylestradiol	The metabolism of Ethinylestradiol can be decreased when combined with Bortezomib.
Ethosuximide	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Ethosuximide.
Ethyl chloride	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Ethyl chloride.
Etidocaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Etidocaine.
Etodolac	The metabolism of Etodolac can be decreased when combined with Bortezomib.
Etoposide	The risk or severity of adverse effects can be increased when Bortezomib is combined with Etoposide.
Etoricoxib	The serum concentration of Bortezomib can be increased when it is combined with Etoricoxib.
Etravirine	The metabolism of Bortezomib can be increased when combined with Etravirine.
Everolimus	The serum concentration of Bortezomib can be increased when it is combined with Everolimus.
Ezogabine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Ezogabine.
Famotidine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Famotidine.
Famtozinameran	The therapeutic efficacy of Famtozinameran can be decreased when used in combination with Bortezomib.
Favipiravir	The serum concentration of Bortezomib can be increased when it is combined with Favipiravir.
Fedratinib	The serum concentration of Bortezomib can be increased when it is combined with Fedratinib.
Felbamate	The metabolism of Bortezomib can be increased when combined with Felbamate.
Felodipine	The metabolism of Bortezomib can be decreased when combined with Felodipine.
Fenfluramine	The metabolism of Bortezomib can be decreased when combined with Fenfluramine.
Fenofibrate	The metabolism of Bortezomib can be decreased when combined with Fenofibrate.
Fesoterodine	The metabolism of Fesoterodine can be decreased when combined with Bortezomib.
Fexinidazole	The risk or severity of adverse effects can be increased when Bortezomib is combined with Fexinidazole.
Fexofenadine	The serum concentration of Bortezomib can be increased when it is combined with Fexofenadine.
Filgotinib	The serum concentration of Bortezomib can be increased when it is combined with Filgotinib.
Fingolimod	Bortezomib may increase the immunosuppressive activities of Fingolimod.
Flecainide	The metabolism of Flecainide can be decreased when combined with Bortezomib.
Flibanserin	The serum concentration of Bortezomib can be increased when it is combined with Flibanserin.
Floxuridine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Floxuridine.
Flucloxacillin	The metabolism of Bortezomib can be increased when combined with Flucloxacillin.
Fluconazole	The serum concentration of Bortezomib can be increased when it is combined with Fluconazole.
Flucytosine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Flucytosine.
Fludarabine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Fludarabine.
Fludrocortisone	The risk or severity of adverse effects can be increased when Bortezomib is combined with Fludrocortisone.
Fluindione	The risk or severity of bleeding can be increased when Fluindione is combined with Bortezomib.
Flunarizine	The metabolism of Flunarizine can be decreased when combined with Bortezomib.
Flunisolide	The metabolism of Bortezomib can be increased when combined with Flunisolide.
Flunitrazepam	The metabolism of Flunitrazepam can be decreased when combined with Bortezomib.
Fluocinolone acetonide	The metabolism of Bortezomib can be increased when combined with Fluocinolone acetonide.
Fluocinonide	The metabolism of Bortezomib can be increased when combined with Fluocinonide.
Fluocortolone	The metabolism of Bortezomib can be increased when combined with Fluocortolone.
Fluorometholone	The risk or severity of adverse effects can be increased when Bortezomib is combined with Fluorometholone.
Fluorouracil	The risk or severity of adverse effects can be increased when Bortezomib is combined with Fluorouracil.
Fluoxetine	The serum concentration of Bortezomib can be increased when it is combined with Fluoxetine.
Flupentixol	The risk or severity of myelosuppression can be increased when Flupentixol is combined with Bortezomib.
Fluphenazine	The metabolism of Bortezomib can be decreased when combined with Fluphenazine.
Fluprednisolone	The risk or severity of adverse effects can be increased when Bortezomib is combined with Fluprednisolone.
Flurbiprofen	The metabolism of Flurbiprofen can be decreased when combined with Bortezomib.
Fluspirilene	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Fluspirilene.
Flutamide	The metabolism of Flutamide can be decreased when combined with Bortezomib.
Fluticasone	The metabolism of Bortezomib can be increased when combined with Fluticasone.
Fluticasone furoate	The risk or severity of adverse effects can be increased when Bortezomib is combined with Fluticasone furoate.
Fluticasone propionate	The serum concentration of Bortezomib can be increased when it is combined with Fluticasone propionate.
Fluvastatin	The metabolism of Bortezomib can be decreased when combined with Fluvastatin.
Fluvoxamine	The metabolism of Bortezomib can be decreased when combined with Fluvoxamine.
Fondaparinux	The risk or severity of bleeding can be increased when Fondaparinux is combined with Bortezomib.
Formestane	The metabolism of Bortezomib can be increased when combined with Formestane.
Formoterol	The metabolism of Formoterol can be decreased when combined with Bortezomib.
Fosamprenavir	The serum concentration of Bortezomib can be increased when it is combined with Fosamprenavir.
Fosaprepitant	The metabolism of Bortezomib can be increased when combined with Fosaprepitant.
Foscarnet	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Foscarnet.
Fosnetupitant	The metabolism of Bortezomib can be decreased when combined with Fosnetupitant.
Fosphenytoin	The metabolism of Bortezomib can be increased when combined with Fosphenytoin.
Fostamatinib	The serum concentration of Bortezomib can be increased when it is combined with Fostamatinib.
Fostemsavir	The serum concentration of Bortezomib can be increased when it is combined with Fostemsavir.
Frovatriptan	The metabolism of Frovatriptan can be decreased when combined with Bortezomib.
Fusidic acid	The metabolism of Bortezomib can be decreased when combined with Fusidic acid.
Futibatinib	The serum concentration of Bortezomib can be increased when it is combined with Futibatinib.
Gadobenic acid	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Gadobenic acid.
Galantamine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Galantamine.
Gallium nitrate	The risk or severity of adverse effects can be increased when Bortezomib is combined with Gallium nitrate.
Gatifloxacin	The metabolism of Bortezomib can be decreased when combined with Gatifloxacin.
Gefitinib	The metabolism of Bortezomib can be decreased when combined with Gefitinib.
Gemcitabine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Gemcitabine.
Gemfibrozil	The metabolism of Bortezomib can be decreased when combined with Gemfibrozil.
Gemifloxacin	The metabolism of Bortezomib can be decreased when combined with Gemifloxacin.
Gemtuzumab ozogamicin	The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Bortezomib.
Gilteritinib	The metabolism of Bortezomib can be decreased when combined with Gilteritinib.
Ginkgo biloba	The metabolism of Bortezomib can be decreased when combined with Ginkgo biloba.
Givosiran	The serum concentration of Bortezomib can be increased when it is combined with Givosiran.
Glasdegib	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Glasdegib.
Glatiramer	The risk or severity of adverse effects can be increased when Bortezomib is combined with Glatiramer.
Glecaprevir	The serum concentration of Bortezomib can be increased when it is combined with Glecaprevir.
Gliclazide	The metabolism of Gliclazide can be decreased when combined with Bortezomib.
Glimepiride	The metabolism of Glimepiride can be decreased when combined with Bortezomib.
Glipizide	The metabolism of Glipizide can be decreased when combined with Bortezomib.
Gliquidone	The metabolism of Gliquidone can be decreased when combined with Bortezomib.
Glyburide	The metabolism of Bortezomib can be decreased when combined with Glyburide.
Glycerol phenylbutyrate	The metabolism of Bortezomib can be increased when combined with Glycerol phenylbutyrate.
Golimumab	The metabolism of Bortezomib can be increased when combined with Golimumab.
Goserelin	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Goserelin.
Granisetron	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Granisetron.
Grapefruit	The serum concentration of Bortezomib can be increased when it is combined with Grapefruit.
Grazoprevir	The serum concentration of Bortezomib can be increased when it is combined with Grazoprevir.
Grepafloxacin	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Grepafloxacin.
Griseofulvin	The metabolism of Bortezomib can be increased when combined with Griseofulvin.
GSK-3844766A	The therapeutic efficacy of GSK-3844766A can be decreased when used in combination with Bortezomib.
Guanabenz	The metabolism of Guanabenz can be decreased when combined with Bortezomib.
Guselkumab	The risk or severity of adverse effects can be increased when Bortezomib is combined with Guselkumab.
Haemophilus influenzae type B strain 20752 capsular polysaccharide tetanus toxoid conjugate antigen	The therapeutic efficacy of Haemophilus influenzae type B strain 20752 capsular polysaccharide tetanus toxoid conjugate antigen can be decreased when used in combination with Bortezomib.
Halofantrine	The metabolism of Bortezomib can be decreased when combined with Halofantrine.
Haloperidol	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Haloperidol.
Halothane	The metabolism of Halothane can be decreased when combined with Bortezomib.
Heparin	The risk or severity of bleeding can be increased when Heparin is combined with Bortezomib.
Hepatitis A Vaccine	The therapeutic efficacy of Hepatitis A Vaccine can be decreased when used in combination with Bortezomib.
Hepatitis B Vaccine (Recombinant)	The therapeutic efficacy of Hepatitis B Vaccine (Recombinant) can be decreased when used in combination with Bortezomib.
Histrelin	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Histrelin.
Human adenovirus e serotype 4 strain cl-68578 antigen	The risk or severity of infection can be increased when Human adenovirus e serotype 4 strain cl-68578 antigen is combined with Bortezomib.
Hydralazine	The serum concentration of Bortezomib can be increased when it is combined with Hydralazine.
Hydrochlorothiazide	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Hydrochlorothiazide.
Hydrocortamate	The metabolism of Bortezomib can be increased when combined with Hydrocortamate.
Hydrocortisone	The metabolism of Bortezomib can be increased when combined with Hydrocortisone.
Hydrocortisone acetate	The metabolism of Bortezomib can be increased when combined with Hydrocortisone acetate.
Hydrocortisone butyrate	The metabolism of Bortezomib can be increased when combined with Hydrocortisone butyrate.
Hydrocortisone succinate	The metabolism of Bortezomib can be increased when combined with Hydrocortisone succinate.
Hydroflumethiazide	The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Bortezomib.
Hydromorphone	The metabolism of Hydromorphone can be decreased when combined with Bortezomib.
Hydroxychloroquine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Hydroxychloroquine.
Hydroxyurea	The risk or severity of adverse effects can be increased when Bortezomib is combined with Hydroxyurea.
Hydroxyzine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Hydroxyzine.
Hyoscyamine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Hyoscyamine.
Ibandronate	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Ibandronate.
Ibritumomab tiuxetan	The risk or severity of adverse effects can be increased when Ibritumomab tiuxetan is combined with Bortezomib.
Ibrutinib	The risk or severity of adverse effects can be increased when Bortezomib is combined with Ibrutinib.
Ibuprofen	The metabolism of Ibuprofen can be decreased when combined with Bortezomib.
Ibutilide	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Ibutilide.
Icosapent ethyl	The risk or severity of bleeding can be increased when Icosapent ethyl is combined with Bortezomib.
Idarubicin	The risk or severity of adverse effects can be increased when Bortezomib is combined with Idarubicin.
Idelalisib	The risk or severity of adverse effects can be increased when Bortezomib is combined with Idelalisib.
Ifosfamide	The metabolism of Bortezomib can be increased when combined with Ifosfamide.
Iloperidone	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Iloperidone.
Iloprost	The risk or severity of bleeding can be increased when Iloprost is combined with Bortezomib.
Imatinib	The serum concentration of Bortezomib can be increased when it is combined with Imatinib.
Imipramine	The metabolism of Bortezomib can be decreased when combined with Imipramine.
Indacaterol	The serum concentration of Bortezomib can be increased when it is combined with Indacaterol.
Indapamide	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Indapamide.
Indinavir	The metabolism of Bortezomib can be decreased when combined with Indinavir.
Indomethacin	The risk or severity of adverse effects can be increased when Bortezomib is combined with Indomethacin.
Inebilizumab	The risk or severity of infection can be increased when Bortezomib is combined with Inebilizumab.
Infigratinib	The metabolism of Bortezomib can be decreased when combined with Infigratinib.
Infliximab	The metabolism of Bortezomib can be increased when combined with Infliximab.
Influenza A virus A/Brisbane/59/2007(H1N1) antigen (propiolactone inactivated)	The therapeutic efficacy of Influenza A virus A/Brisbane/59/2007(H1N1) antigen (propiolactone inactivated) can be decreased when used in combination with Bortezomib.
Influenza A virus A/Brisbane/59/2007(H1N1) hemagglutinin antigen (propiolactone inactivated)	The therapeutic efficacy of Influenza A virus A/Brisbane/59/2007(H1N1) hemagglutinin antigen (propiolactone inactivated) can be decreased when used in combination with Bortezomib.
Influenza A virus A/California/7/2009 (H1N1) live (attenuated) antigen	The therapeutic efficacy of Influenza A virus A/California/7/2009 (H1N1) live (attenuated) antigen can be decreased when used in combination with Bortezomib.
Influenza A virus A/California/7/2009 X-181 (H1N1) antigen (propiolactone inactivated)	The therapeutic efficacy of Influenza A virus A/California/7/2009 X-181 (H1N1) antigen (propiolactone inactivated) can be decreased when used in combination with Bortezomib.
Influenza A virus A/California/7/2009 X-181 (H1N1) hemagglutinin antigen (propiolactone inactivated)	The therapeutic efficacy of Influenza A virus A/California/7/2009 X-181 (H1N1) hemagglutinin antigen (propiolactone inactivated) can be decreased when used in combination with Bortezomib.
Influenza A virus A/Perth/16/2009 (H3N2) live (attenuated) antigen	The therapeutic efficacy of Influenza A virus A/Perth/16/2009 (H3N2) live (attenuated) antigen can be decreased when used in combination with Bortezomib.
Influenza A virus A/Uruguay/716/2007(H3N2) antigen (propiolactone inactivated)	The therapeutic efficacy of Influenza A virus A/Uruguay/716/2007(H3N2) antigen (propiolactone inactivated) can be decreased when used in combination with Bortezomib.
Influenza A virus A/Victoria/210/2009 X-187 (H3N2) antigen (formaldehyde inactivated)	The therapeutic efficacy of Influenza A virus A/Victoria/210/2009 X-187 (H3N2) antigen (formaldehyde inactivated) can be decreased when used in combination with Bortezomib.
Influenza A virus A/Victoria/210/2009 X-187 (H3N2) hemagglutinin antigen (formaldehyde inactivated)	The therapeutic efficacy of Influenza A virus A/Victoria/210/2009 X-187 (H3N2) hemagglutinin antigen (formaldehyde inactivated) can be decreased when used in combination with Bortezomib.
Influenza B virus B/Brisbane/60/2008 antigen (formaldehyde inactivated)	The therapeutic efficacy of Influenza B virus B/Brisbane/60/2008 antigen (formaldehyde inactivated) can be decreased when used in combination with Bortezomib.
Influenza B virus B/Brisbane/60/2008 antigen (propiolactone inactivated)	The therapeutic efficacy of Influenza B virus B/Brisbane/60/2008 antigen (propiolactone inactivated) can be decreased when used in combination with Bortezomib.
Influenza B virus B/Brisbane/60/2008 hemagglutinin antigen (formaldehyde inactivated)	The therapeutic efficacy of Influenza B virus B/Brisbane/60/2008 hemagglutinin antigen (formaldehyde inactivated) can be decreased when used in combination with Bortezomib.
Influenza B virus B/Brisbane/60/2008 hemagglutinin antigen (propiolactone inactivated)	The therapeutic efficacy of Influenza B virus B/Brisbane/60/2008 hemagglutinin antigen (propiolactone inactivated) can be decreased when used in combination with Bortezomib.
Inotersen	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Inotersen.
Inotuzumab ozogamicin	The serum concentration of Inotuzumab ozogamicin can be increased when it is combined with Bortezomib.
Insulin beef	The metabolism of Bortezomib can be increased when combined with Insulin beef.
Insulin pork	The metabolism of Bortezomib can be increased when combined with Insulin pork.
Interferon alfa-2a	The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Bortezomib.
Interferon alfa-2b	The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Bortezomib.
Interferon alfa-n1	The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Bortezomib.
Interferon alfa-n3	The risk or severity of adverse effects can be increased when Interferon alfa-n3 is combined with Bortezomib.
Interferon alfacon-1	The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Bortezomib.
Interferon beta-1a	The metabolism of Bortezomib can be decreased when combined with Interferon beta-1a.
Interferon beta-1b	The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Bortezomib.
Interferon gamma-1b	The risk or severity of adverse effects can be increased when Interferon gamma-1b is combined with Bortezomib.
Ipecac	The metabolism of Ipecac can be decreased when combined with Bortezomib.
Irbesartan	The serum concentration of Bortezomib can be increased when it is combined with Irbesartan.
Irinotecan	The risk or severity of adverse effects can be increased when Bortezomib is combined with Irinotecan.
Isavuconazole	The serum concentration of Bortezomib can be increased when it is combined with Isavuconazole.
Isavuconazonium	The serum concentration of Bortezomib can be increased when it is combined with Isavuconazonium.
Isoflurane	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Isoflurane.
Isoniazid	The metabolism of Bortezomib can be decreased when combined with Isoniazid.
Isradipine	The metabolism of Bortezomib can be decreased when combined with Isradipine.
Istradefylline	The serum concentration of Bortezomib can be increased when it is combined with Istradefylline.
Itraconazole	The metabolism of Bortezomib can be decreased when combined with Itraconazole.
Ivabradine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Ivabradine.
Ivacaftor	The serum concentration of Bortezomib can be increased when it is combined with Ivacaftor.
Ivosidenib	The metabolism of Bortezomib can be increased when combined with Ivosidenib.
Ixabepilone	The serum concentration of Bortezomib can be increased when it is combined with Ixabepilone.
Ixekizumab	The risk or severity of adverse effects can be increased when Bortezomib is combined with Ixekizumab.
Janssen COVID-19 Vaccine	The therapeutic efficacy of Janssen COVID-19 Vaccine can be decreased when used in combination with Bortezomib.
Japanese encephalitis virus strain sa 14-14-2 antigen (formaldehyde inactivated)	The therapeutic efficacy of Japanese encephalitis virus strain sa 14-14-2 antigen (formaldehyde inactivated) can be decreased when used in combination with Bortezomib.
Ketamine	The metabolism of Ketamine can be decreased when combined with Bortezomib.
Ketazolam	The serum concentration of Bortezomib can be increased when it is combined with Ketazolam.
Ketoconazole	The metabolism of Bortezomib can be decreased when combined with Ketoconazole.
Ketorolac	The metabolism of Ketorolac can be decreased when combined with Bortezomib.
Labetalol	The metabolism of Labetalol can be decreased when combined with Bortezomib.
Lacidipine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Lacidipine.
Lacosamide	The metabolism of Bortezomib can be decreased when combined with Lacosamide.
Lamotrigine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Lamotrigine.
Lanreotide	The metabolism of Bortezomib can be decreased when combined with Lanreotide.
Lansoprazole	The metabolism of Lansoprazole can be decreased when combined with Bortezomib.
Lapatinib	The serum concentration of Bortezomib can be increased when it is combined with Lapatinib.
Larotrectinib	The serum concentration of Bortezomib can be increased when it is combined with Larotrectinib.
Lasmiditan	The serum concentration of Bortezomib can be increased when it is combined with Lasmiditan.
Ledipasvir	The serum concentration of Bortezomib can be increased when it is combined with Ledipasvir.
Lefamulin	Lefamulin may increase the QTc-prolonging activities of Bortezomib.
Leflunomide	The risk or severity of adverse effects can be increased when Bortezomib is combined with Leflunomide.
Lemborexant	The serum concentration of Bortezomib can be increased when it is combined with Lemborexant.
Lenalidomide	The risk or severity of adverse effects can be increased when Bortezomib is combined with Lenalidomide.
Leniolisib	The metabolism of Bortezomib can be decreased when combined with Leniolisib.
Lenvatinib	The serum concentration of Bortezomib can be increased when it is combined with Lenvatinib.
Lepirudin	The risk or severity of bleeding can be increased when Lepirudin is combined with Bortezomib.
Lesinurad	The metabolism of Bortezomib can be increased when combined with Lesinurad.
Letermovir	The serum concentration of Bortezomib can be increased when it is combined with Letermovir.
Leuprolide	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Leuprolide.
Levacetylmethadol	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Levacetylmethadol.
Levobetaxolol	The metabolism of Levobetaxolol can be decreased when combined with Bortezomib.
Levobupivacaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Levobupivacaine.
Levocabastine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Levocabastine.
Levocetirizine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Levocetirizine.
Levofloxacin	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Levofloxacin.
Levoketoconazole	The metabolism of Bortezomib can be decreased when combined with Levoketoconazole.
Levomenthol	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Levomenthol.
Levomilnacipran	The metabolism of Levomilnacipran can be decreased when combined with Bortezomib.
Levosimendan	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Levosimendan.
Levothyroxine	The serum concentration of Bortezomib can be decreased when it is combined with Levothyroxine.
Lidocaine	The risk or severity of methemoglobinemia can be increased when Bortezomib is combined with Lidocaine.
Lidoflazine	The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Lidoflazine.
Linagliptin	The serum concentration of Bortezomib can be increased when it is combined with Linagliptin.
Linezolid	The risk or severity of adverse effects can be increased when Bortezomib is combined with Linezolid.
Lipegfilgrastim	Bortezomib may increase the myelosuppressive activities of Lipegfilgrastim.
Lisdexamfetamine	The metabolism of Bortezomib can be decreased when combined with Lisdexamfetamine.
Lisuride	The metabolism of Lisuride can be decreased when combined with Bortezomib.
Lofexidine	The metabolism of Lofexidine can be decreased when combined with Bortezomib.
Lomefloxacin	The metabolism of Lomefloxacin can be decreased when combined with Bortezomib.
Lomitapide	The serum concentration of Bortezomib can be increased when it is combined with Lomitapide.
Lomustine	The risk or severity of adverse effects can be increased when Bortezomib is combined with Lomustine.
Lonafarnib	The metabolism of Bortezomib can be decreased when combined with Lonafarnib.
Lonapegsomatropin	The metabolism of Bortezomib can be increased when combined with Lonapegsomatropin.
Loncastuximab tesirine	The serum concentration of Bortezomib can be increased when it is combined with Loncastuximab tesirine.
Loperamide	The serum concentration of Bortezomib can be increased when it is combined with Loperamide.
Lopinavir	The serum concentration of Bortezomib can be increased when it is combined with Lopinavir.
